scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_ctrl_sardine_23,Fishing,No Warming,ctrl,sardine,23,temp,-2.813969654782291e-17,7.415422265514653e-16,-0.03794753088935513,0.9698067109200642,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_24,Fishing,No Warming,ctrl,sardine,24,temp,-1.508802153397552e-17,6.756027139161605e-16,-0.02233268342946278,0.9822279867383652,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_25,Fishing,No Warming,ctrl,sardine,25,temp,4.933794699067074e-16,7.068562923257714e-16,0.6979911974516623,0.4868355556382966,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_26,Fishing,No Warming,ctrl,sardine,26,temp,2.575893453530965e-16,6.849537135770181e-16,0.3760682513974463,0.7076790443708789,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_27,Fishing,No Warming,ctrl,sardine,27,temp,-1.3819436009894942e-16,6.854997492994715e-16,-0.2015965144264072,0.8406500347047892,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_28,Fishing,No Warming,ctrl,sardine,28,temp,-4.896989858342869e-16,6.645147924740194e-16,-0.7369271404946681,0.46292725140866553,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_29,Fishing,No Warming,ctrl,sardine,29,temp,-3.722825083014208e-17,5.943875346624606e-16,-0.06263296024753139,0.9501863507160316,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_3,Fishing,No Warming,ctrl,sardine,3,temp,-5.043418723579519e-16,6.401428138689837e-16,-0.7878583675879148,0.4326810582460926,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_30,Fishing,No Warming,ctrl,sardine,30,temp,-2.020061442459222e-16,6.423877291702452e-16,-0.3144613993589947,0.7538391210992741,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_4,Fishing,No Warming,ctrl,sardine,4,temp,-4.730530571037594e-16,6.547733147597544e-16,-0.7224684428034904,0.4717270758882919,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_5,Fishing,No Warming,ctrl,sardine,5,temp,1.2406546056542455e-15,6.397793095453385e-16,1.9391915104849533,0.055354013022473066,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_6,Fishing,No Warming,ctrl,sardine,6,temp,5.622364573585908e-16,7.157540651960084e-16,0.7855162613776046,0.43404597726205274,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_7,Fishing,No Warming,ctrl,sardine,7,temp,-5.254690352816865e-16,6.955730054372382e-16,-0.7554477117055108,0.4517922784273739,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
